,0,1,2,3,4,5,6,7,8,9,10,11
0,Singapore,2015,female,75+ years,13,103599,12.55,Singapore2015,,"304,097,759,674",81766,Silent
1,Bulgaria,1998,male,75+ years,201,174000,115.52,Bulgaria1998,,"14,630,992,956",1852,G.I. Generation
2,Belarus,1999,female,55-74 years,170,1157900,14.68,Belarus1999,,"12,138,486,532",1269,Silent
3,Saint Vincent and Grenadines,1998,male,25-34 years,3,8852,33.89,Saint Vincent and Grenadines1998,,"373,619,852",3874,Generation X
4,Sri Lanka,1997,female,25-34 years,341,1514575,22.51,Sri Lanka1997,,"15,091,913,884",900,Generation X
5,Colombia,2011,male,35-54 years,498,5745871,8.67,Colombia2011,0.713,"335,415,156,702",7885,Generation X
6,United States,2011,female,5-14 years,86,20251453,0.42,United States2011,0.9109999999999999,"15,517,926,000,000",53452,Generation Z
7,Denmark,1996,male,75+ years,95,134200,70.79,Denmark1996,,"187,632,400,366",38158,G.I. Generation
8,Panama,2013,female,5-14 years,1,347709,0.29,Panama2013,0.777,"45,599,994,000",13189,Generation Z
9,Bulgaria,1987,female,15-24 years,35,595300,5.88,Bulgaria1987,,"28,101,000,000",3355,Generation X
10,Canada,2006,female,5-14 years,18,1920311,0.94,Canada2006,,"1,315,415,197,461",42566,Millenials
11,Latvia,1998,female,55-74 years,47,317300,14.81,Latvia1998,,"7,174,985,107",3061,Silent
12,Puerto Rico,2001,female,75+ years,3,111602,2.69,Puerto Rico2001,,"69,208,400,000",19649,Silent
13,Slovakia,2006,female,25-34 years,0,445779,0.0,Slovakia2006,,"70,596,729,394",13763,Generation X
14,Belize,2004,male,15-24 years,7,28175,24.84,Belize2004,,"1,057,845,500",4449,Millenials
15,Panama,1998,male,5-14 years,0,314942,0.0,Panama1998,,"11,575,486,400",4488,Millenials
16,Paraguay,2001,female,5-14 years,6,656430,0.91,Paraguay2001,,"7,662,595,076",1630,Millenials
17,Austria,1999,male,15-24 years,99,485374,20.4,Austria1999,,"217,185,787,343",28722,Generation X
18,Greece,1997,male,75+ years,38,277121,13.71,Greece1997,,"143,157,600,025",13968,G.I. Generation
19,Romania,1994,female,75+ years,55,508000,10.83,Romania1994,,"30,074,440,483",1406,G.I. Generation
20,Latvia,2006,female,5-14 years,0,105387,0.0,Latvia2006,,"21,447,021,570",10139,Millenials
21,Kiribati,1994,female,5-14 years,1,9619,10.4,Kiribati1994,,"54,832,578",845,Millenials
22,Lithuania,2013,male,25-34 years,121,188010,64.36,Lithuania2013,0.8370000000000001,"46,417,340,375",16538,Millenials
23,Montenegro,2004,male,75+ years,0,9838,0.0,Montenegro2004,,"2,073,234,418",3565,Silent
24,Colombia,2010,male,25-34 years,436,3779392,11.54,Colombia2010,0.706,"287,018,184,638",6836,Generation X
25,Australia,2014,female,75+ years,45,865915,5.2,Australia2014,0.935,"1,464,955,475,994",66809,Silent
26,Lithuania,1997,male,25-34 years,231,272292,84.84,Lithuania1997,,"10,120,274,493",3008,Generation X
27,Iceland,2016,male,25-34 years,8,25029,31.96,Iceland2016,,"20,304,098,101",64708,Millenials
28,Belgium,2011,male,15-24 years,109,676437,16.11,Belgium2011,0.8859999999999999,"527,008,453,887",50893,Millenials
29,New Zealand,1989,female,75+ years,2,92200,2.17,New Zealand1989,,"44,170,562,822",14417,G.I. Generation
30,Guatemala,2015,male,25-34 years,86,1267501,6.79,Guatemala2015,,"63,767,597,194",4472,Millenials
31,Armenia,2010,male,55-74 years,13,193100,6.73,Armenia2010,0.721,"9,260,284,938",3460,Silent
32,Czech Republic,1991,female,5-14 years,1,735500,0.14,Czech Republic1991,,"29,675,502,270",3070,Millenials
33,Sri Lanka,1996,female,35-54 years,228,2135855,10.67,Sri Lanka1996,,"13,897,738,375",834,Boomers
34,Mexico,1989,male,35-54 years,404,6586000,6.13,Mexico1989,,"222,977,046,516",3125,Silent
35,Kazakhstan,1994,male,5-14 years,50,1784600,2.8,Kazakhstan1994,,"21,250,839,258",1395,Millenials
36,Montenegro,2005,male,15-24 years,2,50447,3.96,Montenegro2005,0.75,"2,257,174,481",3870,Millenials
37,Turkmenistan,1994,female,15-24 years,24,381300,6.29,Turkmenistan1994,,"2,561,118,608",748,Generation X
38,Armenia,1990,female,35-54 years,15,358000,4.19,Armenia1990,0.632,"2,256,838,858",756,Silent
39,Netherlands,2007,female,5-14 years,4,972473,0.41,Netherlands2007,,"839,419,655,078",54418,Generation Z
40,Chile,2015,female,75+ years,21,470618,4.46,Chile2015,,"243,999,477,738",14729,Silent
41,Slovakia,2012,male,15-24 years,41,365970,11.2,Slovakia2012,0.836,"93,413,992,956",18256,Millenials
42,Japan,1990,female,55-74 years,2607,12588300,20.71,Japan1990,0.8140000000000001,"3,132,817,652,848",26949,G.I. Generation
43,Norway,2011,female,15-24 years,20,316334,6.32,Norway2011,0.941,"498,831,558,926",107430,Millenials
44,Greece,2014,male,55-74 years,143,1149730,12.44,Greece2014,0.865,"237,029,579,261",22834,Boomers
45,Panama,1996,female,35-54 years,3,278702,1.08,Panama1996,,"9,870,494,000",3992,Boomers
